Indicators,Period,State,Gender,Age ,Data Source,Program Area,Values
Percentage of children under 6 months who were exclusively breastfed,2002,Anambra,Male,Under 6 months,WHO,RMNCH+N,76
Percentage of children under 6 months who were exclusively breastfed,2003,Anambra,Female,Under 6 months,WHO,RMNCH+N,152
Percentage of children under 6 months who were exclusively breastfed,2003,Anambra,Male,Under 6 months,WHO,RMNCH+N,165
Percentage of children under 6 months who were exclusively breastfed,2004,Anambra,Female,Under 6 months,WHO,RMNCH+N,156
Percentage of children under 6 months who were exclusively breastfed,2004,Anambra,Male,Under 6 months,WHO,RMNCH+N,149
Percentage of children under 6 months who were exclusively breastfed,2005,Anambra,Female,Under 6 months,WHO,RMNCH+N,123
Percentage of children under 6 months who were exclusively breastfed,2005,Anambra,Male,Under 6 months,WHO,RMNCH+N,67
Percentage of children under 6 months who were exclusively breastfed,2006,Anambra,Female,Under 6 months,WHO,RMNCH+N,4
Percentage of children under 6 months who were exclusively breastfed,2006,Anambra,Male,Under 6 months,WHO,RMNCH+N,123
Percentage of children under 6 months who were exclusively breastfed,2007,Anambra,Female,Under 6 months,WHO,RMNCH+N,147
Percentage of children under 6 months who were exclusively breastfed,2007,Anambra,Male,Under 6 months,WHO,RMNCH+N,79
Percentage of children under 6 months who were exclusively breastfed,2008,Anambra,Female,Under 6 months,WHO,RMNCH+N,154
Percentage of children under 6 months who were exclusively breastfed,2008,Anambra,Male,Under 6 months,WHO,RMNCH+N,54
Percentage of children under 6 months who were exclusively breastfed,2009,Anambra,Female,Under 6 months,WHO,RMNCH+N,116
Percentage of children under 6 months who were exclusively breastfed,2009,Anambra,Male,Under 6 months,WHO,RMNCH+N,187
Percentage of children under 6 months who were exclusively breastfed,2010,Anambra,Female,Under 6 months,WHO,RMNCH+N,42
Percentage of children under 6 months who were exclusively breastfed,2010,Anambra,Male,Under 6 months,WHO,RMNCH+N,158
Percentage of children under 6 months who were exclusively breastfed,2011,Anambra,Female,Under 6 months,WHO,RMNCH+N,43
Percentage of children under 6 months who were exclusively breastfed,2011,Anambra,Male,Under 6 months,WHO,RMNCH+N,32
Percentage of children under 6 months who were exclusively breastfed,2000,Bauchi,Female,Under 6 months,WHO,RMNCH+N,33
Percentage of children under 6 months who were exclusively breastfed,2000,Bauchi,Male,Under 6 months,WHO,RMNCH+N,46
Percentage of children under 6 months who were exclusively breastfed,2001,Bauchi,Female,Under 6 months,WHO,RMNCH+N,73
Percentage of children under 6 months who were exclusively breastfed,2001,Bauchi,Male,Under 6 months,WHO,RMNCH+N,59
Percentage of children under 6 months who were exclusively breastfed,2002,Bauchi,Female,Under 6 months,WHO,RMNCH+N,13
Percentage of children under 6 months who were exclusively breastfed,2002,Bauchi,Male,Under 6 months,WHO,RMNCH+N,100
Percentage of children under 6 months who were exclusively breastfed,2003,Bauchi,Female,Under 6 months,WHO,RMNCH+N,118
Percentage of children under 6 months who were exclusively breastfed,2003,Bauchi,Male,Under 6 months,WHO,RMNCH+N,64
Percentage of children under 6 months who were exclusively breastfed,2004,Bauchi,Female,Under 6 months,WHO,RMNCH+N,6
Percentage of children under 6 months who were exclusively breastfed,2004,Bauchi,Male,Under 6 months,WHO,RMNCH+N,19
Percentage of children under 6 months who were exclusively breastfed,2005,Bauchi,Female,Under 6 months,WHO,RMNCH+N,111
Percentage of children under 6 months who were exclusively breastfed,2005,Bauchi,Male,Under 6 months,WHO,RMNCH+N,13
Percentage of children under 6 months who were exclusively breastfed,2006,Bauchi,Female,Under 6 months,WHO,RMNCH+N,148
Percentage of children under 6 months who were exclusively breastfed,2006,Bauchi,Male,Under 6 months,WHO,RMNCH+N,103
Percentage of children under 6 months who were exclusively breastfed,2007,Bauchi,Female,Under 6 months,WHO,RMNCH+N,130
Percentage of children under 6 months who were exclusively breastfed,2007,Bauchi,Male,Under 6 months,WHO,RMNCH+N,177
Percentage of children under 6 months who were exclusively breastfed,2008,Bauchi,Female,Under 6 months,WHO,RMNCH+N,136
Percentage of children under 6 months who were exclusively breastfed,2008,Bauchi,Male,Under 6 months,WHO,RMNCH+N,32
Percentage of children under 6 months who were exclusively breastfed,2009,Bauchi,Female,Under 6 months,WHO,RMNCH+N,43
Percentage of children under 6 months who were exclusively breastfed,2009,Bauchi,Male,Under 6 months,WHO,RMNCH+N,3
Percentage of children under 6 months who were exclusively breastfed,2010,Bauchi,Male,Under 6 months,WHO,RMNCH+N,121
Percentage of children under 6 months who were exclusively breastfed,2010,Bauchi,Female,Under 6 months,WHO,RMNCH+N,120
Percentage of children under 6 months who were exclusively breastfed,2011,Bauchi,Male,Under 6 months,WHO,RMNCH+N,139
Percentage of children under 6 months who were exclusively breastfed,2011,Bauchi,Female,Under 6 months,WHO,RMNCH+N,109
Percentage of children under 6 months who were exclusively breastfed,2000,Bayelsa,Female,Under 6 months,WHO,RMNCH+N,63
Percentage of children under 6 months who were exclusively breastfed,2000,Bayelsa,Male,Under 6 months,WHO,RMNCH+N,29
Percentage of children under 6 months who were exclusively breastfed,2001,Bayelsa,Female,Under 6 months,WHO,RMNCH+N,189
Percentage of children under 6 months who were exclusively breastfed,2001,Bayelsa,Male,Under 6 months,WHO,RMNCH+N,66
Percentage of children under 6 months who were exclusively breastfed,2002,Bayelsa,Female,Under 6 months,WHO,RMNCH+N,111
Percentage of children under 6 months who were exclusively breastfed,2002,Bayelsa,Male,Under 6 months,WHO,RMNCH+N,49
Percentage of children under 6 months who were exclusively breastfed,2003,Bayelsa,Female,Under 6 months,WHO,RMNCH+N,140
Percentage of children under 6 months who were exclusively breastfed,2003,Bayelsa,Male,Under 6 months,WHO,RMNCH+N,64
Percentage of children under 6 months who were exclusively breastfed,2004,Bayelsa,Female,Under 6 months,WHO,RMNCH+N,230
Percentage of children under 6 months who were exclusively breastfed,2004,Bayelsa,Male,Under 6 months,WHO,RMNCH+N,112
Percentage of children under 6 months who were exclusively breastfed,2005,Bayelsa,Female,Under 6 months,WHO,RMNCH+N,67
Percentage of children under 6 months who were exclusively breastfed,2005,Bayelsa,Male,Under 6 months,WHO,RMNCH+N,221
Percentage of children under 6 months who were exclusively breastfed,2006,Bayelsa,Female,Under 6 months,WHO,RMNCH+N,239
Percentage of children under 6 months who were exclusively breastfed,2006,Bayelsa,Male,Under 6 months,WHO,RMNCH+N,61
Percentage of children under 6 months who were exclusively breastfed,2007,Bayelsa,Female,Under 6 months,WHO,RMNCH+N,76
Percentage of children under 6 months who were exclusively breastfed,2007,Bayelsa,Male,Under 6 months,WHO,RMNCH+N,51
Percentage of children under 6 months who were exclusively breastfed,2008,Bayelsa,Female,Under 6 months,WHO,RMNCH+N,35
Percentage of children under 6 months who were exclusively breastfed,2008,Bayelsa,Male,Under 6 months,WHO,RMNCH+N,205
Percentage of children under 6 months who were exclusively breastfed,2009,Bayelsa,Female,Under 6 months,WHO,RMNCH+N,128
Percentage of children under 6 months who were exclusively breastfed,2009,Bayelsa,Male,Under 6 months,WHO,RMNCH+N,139
Percentage of children under 6 months who were exclusively breastfed,2010,Bayelsa,Male,Under 6 months,WHO,RMNCH+N,93
Percentage of children under 6 months who were exclusively breastfed,2010,Bayelsa,Female,Under 6 months,WHO,RMNCH+N,81
Percentage of children under 6 months who were exclusively breastfed,2011,Bayelsa,Male,Under 6 months,WHO,RMNCH+N,116
Percentage of children under 6 months who were exclusively breastfed,2011,Bayelsa,Female,Under 6 months,WHO,RMNCH+N,172
Percentage of children under 6 months who were exclusively breastfed,2000,Benue,Female,Under 6 months,WHO,RMNCH+N,161
Percentage of children under 6 months who were exclusively breastfed,2000,Benue,Male,Under 6 months,WHO,RMNCH+N,79
Percentage of children under 6 months who were exclusively breastfed,2001,Benue,Female,Under 6 months,WHO,RMNCH+N,34
Percentage of children under 6 months who were exclusively breastfed,2001,Benue,Male,Under 6 months,WHO,RMNCH+N,227
Percentage of children under 6 months who were exclusively breastfed,2002,Benue,Female,Under 6 months,WHO,RMNCH+N,77
Percentage of children under 6 months who were exclusively breastfed,2002,Benue,Male,Under 6 months,WHO,RMNCH+N,142
Percentage of children under 6 months who were exclusively breastfed,2003,Benue,Female,Under 6 months,WHO,RMNCH+N,180
Percentage of children under 6 months who were exclusively breastfed,2003,Benue,Male,Under 6 months,WHO,RMNCH+N,194
Percentage of children under 6 months who were exclusively breastfed,2004,Benue,Female,Under 6 months,WHO,RMNCH+N,125
Percentage of children under 6 months who were exclusively breastfed,2004,Benue,Male,Under 6 months,WHO,RMNCH+N,242
Percentage of children under 6 months who were exclusively breastfed,2005,Benue,Female,Under 6 months,WHO,RMNCH+N,99
Percentage of children under 6 months who were exclusively breastfed,2005,Benue,Male,Under 6 months,WHO,RMNCH+N,220
Percentage of children under 6 months who were exclusively breastfed,2006,Benue,Female,Under 6 months,WHO,RMNCH+N,140
Percentage of children under 6 months who were exclusively breastfed,2006,Benue,Male,Under 6 months,WHO,RMNCH+N,33
Percentage of children under 6 months who were exclusively breastfed,2007,Benue,Female,Under 6 months,WHO,RMNCH+N,57
Percentage of children under 6 months who were exclusively breastfed,2007,Benue,Male,Under 6 months,WHO,RMNCH+N,206
Percentage of children under 6 months who were exclusively breastfed,2008,Benue,Female,Under 6 months,WHO,RMNCH+N,63
Percentage of children under 6 months who were exclusively breastfed,2008,Benue,Male,Under 6 months,WHO,RMNCH+N,218
Percentage of children under 6 months who were exclusively breastfed,2009,Benue,Female,Under 6 months,WHO,RMNCH+N,174
Percentage of children under 6 months who were exclusively breastfed,2009,Benue,Male,Under 6 months,WHO,RMNCH+N,114
Percentage of children under 6 months who were exclusively breastfed,2010,Benue,Male,Under 6 months,WHO,RMNCH+N,162
Percentage of children under 6 months who were exclusively breastfed,2010,Benue,Female,Under 6 months,WHO,RMNCH+N,92
Percentage of children under 6 months who were exclusively breastfed,2011,Benue,Male,Under 6 months,WHO,RMNCH+N,114
Percentage of children under 6 months who were exclusively breastfed,2011,Benue,Female,Under 6 months,WHO,RMNCH+N,191
Percentage of children under 6 months who were exclusively breastfed,2000,Borno,Female,Under 6 months,WHO,RMNCH+N,204
Percentage of children under 6 months who were exclusively breastfed,2000,Borno,Male,Under 6 months,WHO,RMNCH+N,92
Percentage of children under 6 months who were exclusively breastfed,2001,Borno,Female,Under 6 months,WHO,RMNCH+N,168
Percentage of children under 6 months who were exclusively breastfed,2001,Borno,Male,Under 6 months,WHO,RMNCH+N,36
Percentage of children under 6 months who were exclusively breastfed,2002,Borno,Female,Under 6 months,WHO,RMNCH+N,161
Percentage of children under 6 months who were exclusively breastfed,2002,Borno,Male,Under 6 months,WHO,RMNCH+N,113
Percentage of children under 6 months who were exclusively breastfed,2003,Borno,Female,Under 6 months,WHO,RMNCH+N,227
Percentage of children under 6 months who were exclusively breastfed,2003,Borno,Male,Under 6 months,WHO,RMNCH+N,190
Percentage of children under 6 months who were exclusively breastfed,2004,Borno,Female,Under 6 months,WHO,RMNCH+N,41
Percentage of children under 6 months who were exclusively breastfed,2004,Borno,Male,Under 6 months,WHO,RMNCH+N,33
Percentage of children under 6 months who were exclusively breastfed,2005,Borno,Female,Under 6 months,WHO,RMNCH+N,199
Percentage of children under 6 months who were exclusively breastfed,2005,Borno,Male,Under 6 months,WHO,RMNCH+N,235
Percentage of children under 6 months who were exclusively breastfed,2006,Borno,Female,Under 6 months,WHO,RMNCH+N,36
Percentage of children under 6 months who were exclusively breastfed,2006,Borno,Male,Under 6 months,WHO,RMNCH+N,60
Percentage of children under 6 months who were exclusively breastfed,2007,Borno,Female,Under 6 months,WHO,RMNCH+N,213
Percentage of children under 6 months who were exclusively breastfed,2007,Borno,Male,Under 6 months,WHO,RMNCH+N,228
Percentage of children under 6 months who were exclusively breastfed,2008,Borno,Female,Under 6 months,WHO,RMNCH+N,211
Percentage of children under 6 months who were exclusively breastfed,2008,Borno,Male,Under 6 months,WHO,RMNCH+N,109
Percentage of children under 6 months who were exclusively breastfed,2009,Borno,Female,Under 6 months,WHO,RMNCH+N,27
Percentage of children under 6 months who were exclusively breastfed,2009,Borno,Male,Under 6 months,WHO,RMNCH+N,70
Percentage of children under 6 months who were exclusively breastfed,2010,Borno,Male,Under 6 months,WHO,RMNCH+N,145
Percentage of children under 6 months who were exclusively breastfed,2010,Borno,Female,Under 6 months,WHO,RMNCH+N,98
Percentage of children under 6 months who were exclusively breastfed,2011,Borno,Male,Under 6 months,WHO,RMNCH+N,240
Percentage of children under 6 months who were exclusively breastfed,2011,Borno,Female,Under 6 months,WHO,RMNCH+N,145
Percentage of children under 6 months who were exclusively breastfed,2000,Cross-river,Female,Under 6 months,WHO,RMNCH+N,163
Percentage of children under 6 months who were exclusively breastfed,2000,Cross-river,Male,Under 6 months,WHO,RMNCH+N,86
Percentage of children under 6 months who were exclusively breastfed,2001,Cross-river,Female,Under 6 months,WHO,RMNCH+N,245
Percentage of children under 6 months who were exclusively breastfed,2001,Cross-river,Male,Under 6 months,WHO,RMNCH+N,160
Percentage of children under 6 months who were exclusively breastfed,2002,Cross-river,Female,Under 6 months,WHO,RMNCH+N,85
Percentage of children under 6 months who were exclusively breastfed,2002,Cross-river,Male,Under 6 months,WHO,RMNCH+N,201
Percentage of children under 6 months who were exclusively breastfed,2003,Cross-river,Female,Under 6 months,WHO,RMNCH+N,189
Percentage of children under 6 months who were exclusively breastfed,2003,Cross-river,Male,Under 6 months,WHO,RMNCH+N,27
Percentage of children under 6 months who were exclusively breastfed,2004,Cross-river,Female,Under 6 months,WHO,RMNCH+N,188
Percentage of children under 6 months who were exclusively breastfed,2004,Cross-river,Male,Under 6 months,WHO,RMNCH+N,56
Percentage of children under 6 months who were exclusively breastfed,2005,Cross-river,Female,Under 6 months,WHO,RMNCH+N,241
Percentage of children under 6 months who were exclusively breastfed,2005,Cross-river,Male,Under 6 months,WHO,RMNCH+N,145
Percentage of children under 6 months who were exclusively breastfed,2006,Cross-river,Female,Under 6 months,WHO,RMNCH+N,229
Percentage of children under 6 months who were exclusively breastfed,2006,Cross-river,Male,Under 6 months,WHO,RMNCH+N,104
Percentage of children under 6 months who were exclusively breastfed,2007,Cross-river,Female,Under 6 months,WHO,RMNCH+N,159
Percentage of children under 6 months who were exclusively breastfed,2007,Cross-river,Male,Under 6 months,WHO,RMNCH+N,148
Percentage of children under 6 months who were exclusively breastfed,2008,Cross-river,Female,Under 6 months,WHO,RMNCH+N,104
Percentage of children under 6 months who were exclusively breastfed,2008,Cross-river,Male,Under 6 months,WHO,RMNCH+N,99
Percentage of children under 6 months who were exclusively breastfed,2009,Cross-river,Female,Under 6 months,WHO,RMNCH+N,51
Percentage of children under 6 months who were exclusively breastfed,2009,Cross-river,Male,Under 6 months,WHO,RMNCH+N,160
Percentage of children under 6 months who were exclusively breastfed,2010,Cross-river,Male,Under 6 months,WHO,RMNCH+N,119
Percentage of children under 6 months who were exclusively breastfed,2010,Cross-river,Female,Under 6 months,WHO,RMNCH+N,224
Percentage of children under 6 months who were exclusively breastfed,2011,Cross-river,Male,Under 6 months,WHO,RMNCH+N,62
Percentage of children under 6 months who were exclusively breastfed,2011,Cross-river,Female,Under 6 months,WHO,RMNCH+N,91
Percentage of children under 6 months who were exclusively breastfed,2000,Delta,Female,Under 6 months,WHO,RMNCH+N,90
Percentage of children under 6 months who were exclusively breastfed,2000,Delta,Male,Under 6 months,WHO,RMNCH+N,185
Percentage of children under 6 months who were exclusively breastfed,2001,Delta,Female,Under 6 months,WHO,RMNCH+N,100
Percentage of children under 6 months who were exclusively breastfed,2001,Delta,Male,Under 6 months,WHO,RMNCH+N,181
Percentage of children under 6 months who were exclusively breastfed,2002,Delta,Female,Under 6 months,WHO,RMNCH+N,197
Percentage of children under 6 months who were exclusively breastfed,2002,Delta,Male,Under 6 months,WHO,RMNCH+N,115
Percentage of children under 6 months who were exclusively breastfed,2003,Delta,Female,Under 6 months,WHO,RMNCH+N,183
Percentage of children under 6 months who were exclusively breastfed,2003,Delta,Male,Under 6 months,WHO,RMNCH+N,137
Percentage of children under 6 months who were exclusively breastfed,2004,Delta,Female,Under 6 months,WHO,RMNCH+N,177
Percentage of children under 6 months who were exclusively breastfed,2004,Delta,Male,Under 6 months,WHO,RMNCH+N,202
Percentage of children under 6 months who were exclusively breastfed,2005,Delta,Female,Under 6 months,WHO,RMNCH+N,160
Percentage of children under 6 months who were exclusively breastfed,2005,Delta,Male,Under 6 months,WHO,RMNCH+N,25
Percentage of children under 6 months who were exclusively breastfed,2006,Delta,Female,Under 6 months,WHO,RMNCH+N,157
Percentage of children under 6 months who were exclusively breastfed,2006,Delta,Male,Under 6 months,WHO,RMNCH+N,179
Percentage of children under 6 months who were exclusively breastfed,2007,Delta,Female,Under 6 months,WHO,RMNCH+N,79
Percentage of children under 6 months who were exclusively breastfed,2007,Delta,Male,Under 6 months,WHO,RMNCH+N,199
Percentage of children under 6 months who were exclusively breastfed,2008,Delta,Female,Under 6 months,WHO,RMNCH+N,135
Percentage of children under 6 months who were exclusively breastfed,2008,Delta,Male,Under 6 months,WHO,RMNCH+N,80
Percentage of children under 6 months who were exclusively breastfed,2009,Delta,Female,Under 6 months,WHO,RMNCH+N,42
Percentage of children under 6 months who were exclusively breastfed,2009,Delta,Male,Under 6 months,WHO,RMNCH+N,152
Percentage of children under 6 months who were exclusively breastfed,2010,Delta,Male,Under 6 months,WHO,RMNCH+N,104
Percentage of children under 6 months who were exclusively breastfed,2010,Delta,Female,Under 6 months,WHO,RMNCH+N,144
Percentage of children under 6 months who were exclusively breastfed,2011,Delta,Male,Under 6 months,WHO,RMNCH+N,50
Percentage of children under 6 months who were exclusively breastfed,2011,Delta,Female,Under 6 months,WHO,RMNCH+N,171
Percentage of children under 6 months who were exclusively breastfed,2000,Ebonyi,Female,Under 6 months,WHO,RMNCH+N,234
Percentage of children under 6 months who were exclusively breastfed,2000,Ebonyi,Male,Under 6 months,WHO,RMNCH+N,234
Percentage of children under 6 months who were exclusively breastfed,2001,Ebonyi,Female,Under 6 months,WHO,RMNCH+N,40
Percentage of children under 6 months who were exclusively breastfed,2001,Ebonyi,Male,Under 6 months,WHO,RMNCH+N,73
Percentage of children under 6 months who were exclusively breastfed,2002,Ebonyi,Female,Under 6 months,WHO,RMNCH+N,128
Percentage of children under 6 months who were exclusively breastfed,2002,Ebonyi,Male,Under 6 months,WHO,RMNCH+N,130
Percentage of children under 6 months who were exclusively breastfed,2003,Ebonyi,Female,Under 6 months,WHO,RMNCH+N,205
Percentage of children under 6 months who were exclusively breastfed,2003,Ebonyi,Male,Under 6 months,WHO,RMNCH+N,235
Percentage of children under 6 months who were exclusively breastfed,2004,Ebonyi,Female,Under 6 months,WHO,RMNCH+N,211
Percentage of children under 6 months who were exclusively breastfed,2004,Ebonyi,Male,Under 6 months,WHO,RMNCH+N,142
Percentage of children under 6 months who were exclusively breastfed,2005,Ebonyi,Female,Under 6 months,WHO,RMNCH+N,150
Percentage of children under 6 months who were exclusively breastfed,2005,Ebonyi,Male,Under 6 months,WHO,RMNCH+N,33
Percentage of children under 6 months who were exclusively breastfed,2006,Ebonyi,Female,Under 6 months,WHO,RMNCH+N,109
Percentage of children under 6 months who were exclusively breastfed,2006,Ebonyi,Male,Under 6 months,WHO,RMNCH+N,224
Percentage of children under 6 months who were exclusively breastfed,2007,Ebonyi,Female,Under 6 months,WHO,RMNCH+N,98
